frase,risco,fator,taxonomia,metadata
"Tenho me sentido muito cansada e sem energia ultimamente.",Médio,Esgotamento,Fadiga Crônica,Sinal de sobrecarga
"Me sinto bem e cuido da minha saúde regularmente.",Baixo,Bem-estar Preservado,Autocuidado Ativo,Saúde mental e física
"Tenho dores de cabeça frequentes e não sei a causa.",Médio,Somatização,Manifestação Física de Estresse,Alerta psicossomático
"Acordo no meio da noite e não consigo voltar a dormir por causa da ansiedade.",Alto,Insônia por Ansiedade,Perturbação do Sono,Estresse elevado
"Ando me sentindo triste a maior parte do tempo.",Médio,Sintoma Depressivo,Estado de Humor Rebaixado,Sofrimento emocional
"Perdi peso sem tentar porque não tenho apetite.",Médio,Alteração de Apetite,Sintoma de Estresse,Descuido com autocuidado
"Tenho crises de choro sem conseguir explicar o motivo.",Alto,Labilidade Emocional,Desregulação Afetiva,Sofrimento intenso
"Pratico exercícios e me alimento bem, me sinto saudável.",Baixo,Hábitos Saudáveis,Autocuidado Efetivo,Resiliência física
"Sinto meu coração acelerar do nada e fico com medo.",Alto,Crises de Ansiedade,Sintomas de Pânico,Alerta de estresse agudo
"Não tenho mais vontade de fazer coisas que antes gostava.",Alto,Anedonia,Sintoma Depressivo Grave,Perda de interesse vital
"Tenho me esquecido de coisas simples e me sinto confusa.",Médio,Comprometimento Cognitivo,Efeito de Estresse Crônico,Sobrecarga mental
"Durmo bem e acordo descansada na maioria dos dias.",Baixo,Sono Reparador,Qualidade de Vida,Bem-estar preservado
"Já pensei que seria melhor não estar aqui às vezes.",Alto,Ideação Suicida Passiva,Risco Grave,Necessidade de intervenção urgente
"Sinto meu corpo tenso o tempo todo, como se estivesse sempre alerta.",Alto,Hipervigilância,Estado de Alerta Constante,Trauma ou estresse crônico
"Me sinto confiante e no controle da minha vida.",Baixo,Autoeficácia,Saúde Mental Positiva,Empoderamento pessoal
