frase,risco,fator,taxonomia,metadata
"Eu faço tudo em casa: limpo, cozinho, cuido das crianças e ainda trabalho fora. Ele só chega e senta no sofá.",Alto,Sobrecarga Extrema,Desequilíbrio Severo de Responsabilidades,Exaustão física e mental
"A gente divide as contas de casa, mas a limpeza pesada sempre sobra pra mim.",Baixo,Desequilíbrio Leve,Divisão Desigual de Tarefas,Incômodo moderado
"Ele me cobra que a casa esteja sempre impecável, mas nunca move um dedo para ajudar.",Alto,Exigência Unilateral,Controle por Padrões Irreais,Pressão psicológica constante
"Dividimos as tarefas de forma bem equilibrada, cada um faz sua parte.",Baixo,Equilíbrio,Divisão Saudável,Relação colaborativa
"Se eu peço ajuda, ele diz que está cansado do trabalho, mas eu também trabalho e ainda faço tudo sozinha.",Médio,Minimização da Sobrecarga,Desvalorização do Esforço,Frustração acumulada
"Ele reclama quando eu não faço algo, mas nunca se oferece para ajudar.",Médio,Cobrança sem Colaboração,Expectativa Unilateral,Desgaste emocional
"Sempre que eu saio, ele me liga perguntando onde estão as coisas, como se eu fosse responsável por tudo.",Médio,Dependência Criada,Responsabilização Exclusiva,Falta de autonomia dele
"Trabalho o dia inteiro e ainda tenho que preparar tudo para ele quando chega em casa.",Alto,Servidão Doméstica,Papel de Cuidadora Exclusiva,Desequilíbrio de poder
"Se as crianças estão bagunçando, a culpa é minha por não estar 'cuidando direito' delas.",Alto,Culpabilização,Responsabilização Materna Exclusiva,Invalidação do esforço
"A gente se ajuda bastante, ele cozinha quando eu estou cansada e eu faço o mesmo por ele.",Baixo,Reciprocidade,Apoio Mútuo,Relação saudável
"Ele diz que trabalhar fora é mais cansativo, então eu 'deveria' fazer as tarefas de casa.",Médio,Hierarquização do Trabalho,Desvalorização do Trabalho Doméstico,Discriminação de gênero
"Eu acordo mais cedo para deixar tudo pronto antes de sair para o trabalho.",Médio,Antecipação Forçada,Sobrecarga de Rotina,Privação de descanso
"Se eu não faço algo, ele fica de mau humor o dia inteiro.",Alto,Coerção Emocional,Chantagem Afetiva,Controle por temperamento
"Ele nunca percebe o que eu faço, só reclama quando algo não está feito.",Médio,Invisibilização do Trabalho,Falta de Reconhecimento,Desvalorização sistemática
"Eu peço para ele ajudar e ele faz de má vontade, então acabo fazendo sozinha mesmo.",Médio,Sabotagem Passiva,Resistência Passivo-Agressiva,Manipulação por incompetência
